id,stimulus_id,image_name,country,vehicle,ehmi,distance
93,NL_Car2_10m_RedBar,image_93,Netherlands,Car,RedBar,10
94,NL_Car2_10m_RedSymbol,image_94,Netherlands,Car,SymbolRed,10
95,NL_Car2_10m_STOP,image_95,Netherlands,Car,Stop,10
96,NL_Car2_10m_WALK,image_96,Netherlands,Car,Walk,10
97,NL_Car2_20m,image_97,Netherlands,Car,Base,20
98,NL_Car2_20m_GreenBar,image_98,Netherlands,Car,GreenBar,20
99,NL_Car2_20m_GreenSymbol,image_99,Netherlands,Car,SymbolGreen,20
100,NL_Car2_20m_Lopen,image_100,Netherlands,Car,Lopen,20
101,NL_Car2_20m_RedBar,image_101,Netherlands,Car,RedBar,20
102,NL_Car2_20m_RedSymbol,image_102,Netherlands,Car,SymbolRed,20
103,NL_Car2_20m_Stop,image_103,Netherlands,Car,Stop,20
104,NL_Car2_20m_Walk,image_104,Netherlands,Car,Walk,20
105,NL_Truck_10m,image_105,Netherlands,Truck,Base,10
106,NL_Truck_10m_GreenBar,image_106,Netherlands,Truck,GreenBar,10
107,NL_Truck_10m_Lopen,image_107,Netherlands,Truck,Lopen,10
108,NL_Truck_10m_RedBar,image_108,Netherlands,Truck,RedBar,10
109,NL_Truck_10m_STOP,image_109,Netherlands,Truck,Stop,10
110,NL_Truck_10m_SymbolGreen,image_110,Netherlands,Truck,SymbolGreen,10
111,NL_Truck_10m_SymbolRed,image_111,Netherlands,Truck,SymbolRed,10
112,NL_Truck_20m,image_112,Netherlands,Truck,Base,20
113,NL_Truck_20m_GreenBar,image_113,Netherlands,Truck,GreenBar,20
114,NL_Truck_20m_Lopen,image_114,Netherlands,Truck,Lopen,20
115,NL_Truck_20m_RedBar,image_115,Netherlands,Truck,RedBar,20
116,NL_Truck_20m_STOP,image_116,Netherlands,Truck,Stop,20
117,NL_Truck_20m_SymbolGreen,image_117,Netherlands,Truck,SymbolGreen,20
118,NL_Truck_20m_SymbolRed,image_118,Netherlands,Truck,SymbolRed,20
119,NL_Truck_20m_WALK,image_119,Netherlands,Truck,Walk,20
120,NL_Truck_10m_Walk,image_120,Netherlands,Truck,Walk,10
121,NL_TukTuk_10m,image_121,Netherlands,Tuk_Tuk,Base,10
122,NL_TukTuk_10m_GreenBar,image_122,Netherlands,Tuk_Tuk,GreenBar,10
123,NL_TukTuk_10m_LOPEN,image_123,Netherlands,Tuk_Tuk,Lopen,10
124,NL_TukTuk_10m_RedBar,image_124,Netherlands,Tuk_Tuk,RedBar,10
125,NL_TukTuk_10m_STOP,image_125,Netherlands,Tuk_Tuk,Stop,10
126,NL_TukTuk_10m_SymbolGreen,image_126,Netherlands,Tuk_Tuk,SymbolGreen,10
127,NL_TukTuk_10m_SymbolRed,image_127,Netherlands,Tuk_Tuk,SymbolRed,10
128,NL_TukTuk_10m_WALK,image_128,Netherlands,Tuk_Tuk,Walk,10
129,NL_TukTuk_20m,image_129,Netherlands,Tuk_Tuk,Base,20
130,NL_TukTuk_20m_GreenBar,image_130,Netherlands,Tuk_Tuk,GreenBar,20
131,NL_TukTuk_20m_Lopen,image_131,Netherlands,Tuk_Tuk,Lopen,20
132,NL_TukTuk_20m_RedBar,image_132,Netherlands,Tuk_Tuk,RedBar,20
133,NL_TukTuk_20m_STOP,image_133,Netherlands,Tuk_Tuk,Stop,20
134,NL_TukTuk_20m_SymbolGreen,image_134,Netherlands,Tuk_Tuk,SymbolGreen,20
135,NL_TukTuk_20m_Symbolred,image_135,Netherlands,Tuk_Tuk,SymbolRed,20
136,NL_TukTuk_20m_Walk,image_136,Netherlands,Tuk_Tuk,Walk,20
